grouping,dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,"",Site_Name,Other_Name,Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
244,10031495,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10031495,M010382,,Black Jack Claim,37.76489,-119.10249,NA,United States,California,Mono,M,Tungsten,,,Unknown,,N,Occurrence,,,,,,,,,,,"Gere, W.",,,,,,,"USBM MINERALS YEARBOOK, V. III, 1954, P. 222",,,,,,,,,D,,,,,,,,,,,,,,,,,
245,10008717,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008717,D001062,,Black Rock Mine,37.68327,-118.51762,NA,United States,California,Mono,M,Tungsten,,"Copper, Molybdenum",Unknown,,S,Producer,"Chalcopyrite, Molybdenite, Scheelite","Calcite, Diopside, Epidote, Garnet, Pyrrhotite, Quartz",,IRREGULAR,Surface/Underground,,Formation Of Tactite; Bleaching,Hydrothermal Solutions,,Asymmetrical Anticline That Plunges North; Contact With Pluton.,"Elliott, James E., Elliott, J., Mosier, Dan",,Marble,,Rhyolite,Sierra Nevada Batholith,,"LEMMON, D.M., UNPUBLISHED DATA.LEMMON, D.M., AND TWETO, O.L., 1962, TUNGSTEN IN THE U.S., USGS MAP, MR-25.ELLIOTT, J.E., 1971, THE MINERALOGY AND GEOCHEMISTRY OF THE TUNGSTEN DEPOSITS OF THE BLACK ROCK MINE, MONO COUNTY, CALIF., STANFORD UNIV., UNPUB. PHD THESIS, 131P.1941 DIREXPL USBM1953 GEOLMAP RINEHART AND ROSS, REPT., MAPS.",,1928,,,,1917,,A. E. Beauregard,B,,,,,,,,,,,,,,,,,
245,10109270,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10109270,M010552,,Black Rock,37.683,-118.52789,NA,United States,California,Mono,M,Tungsten,,,Unknown,,Y,Producer,,,,,,,,,,,"Gere, W.",,,,,,,"CALIF. SP. REPT. 48, P. 8, 11-16 AND PL. 1CALIF. V. 36, NO. 2, P. 147-49INDEX OF DMEA REPORTS, DMA NO. 1377, P. 5; ADD. REF.: USGS B. 922-S, P. 587-591; CALIF. B. 176, P. 659-661; B. 725, P. 276-7; USBM I.C. 7945; CALIF. V. 37, NO. 2, P. 314-15; GQ-99",,,,,,,,,D,,,,,,,,,,,,,,,,,
245,10164583,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10164583,D001062,60510172,Black Rock Mine,37.68304,-118.52785,NA,United States,California,Mono,M,Tungsten,,,Underground,,,Past Producer,,,,,,,,,Black Rock Tungsten Deposit,,"Ridenour, James",,,,,,,"U.S. GEOLOGICAL SURVEY BULLETIN 922-5, 1941, P. 587-591.U.S. BUREAU OF MINES RI 4210, 1948, P. 8.CALIF. DIV. MINES SPECIAL REPORT 48, 1956, P. 11-16.U.S. BUREAU OF MINES OPEN-FILE REPORT MLA 83-82, 1982, TABLE 2,P. 13.",,,,,,,,,C,,,,,,,,,,,,,,,,,
246,10237342,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10237342,,60510510,Bluebell Prospect,37.80493,-119.19127,NA,United States,California,Mono,M,Silver,,"Tungsten, Zinc, Lead",Surface,,,Prospect,,,,,,,,,,,Thurber,,,,,,,"U.S. GEOLOGICAL SURVEY BULLETIN 1516-D, 1982, P. 114.",,,,,,,,,D,,,,,,,,,,,,,,,,,
247,10139824,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10139824,,60510442,Bobby D. Lode,37.62244,-118.14513,NA,United States,California,Mono,M,Lead,,"Gold, Tungsten, Zinc",Unknown,,,Occurrence,,,,,,,,,"Bobby D Lode, White Mountains Rare Ii Area",,"Winters, Dick",,,,,,,"U.S. BUREAU OF MINES OPEN-FILE REPORT MLA 94-83, 1983, PLATE 1,NO. 56, P. 10; TABLE 4, NO. 56, P. 41.",,,,,,,,,D,,,,,,,,,,,,,,,,,
248,10164212,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10164212,,60510361,Chidago Queen Nos. 1 and 2,37.67074,-118.54675,NA,United States,California,Mono,M,Silver,,"Gold, Lead, Tungsten",Surface-Underground,,,Prospect,,,,,,,,,"Benton Tange Rare Ii Area, Chidago Queen Nos. 1, 2",,"Rains, Richard",,,,,,,"U.S. BUREAU OF MINES OPEN-FILE REPORT MLA 83-82, 1982, FIGURE 1,P. 5.",,,,,,,,,D,,,,,,,,,,,,,,,,,
249,10115654,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10115654,,60510511,Copper Queen Prospect,37.80213,-119.19127,NA,United States,California,Mono,M,Silver,,"Lead, Tungsten",Surface,,,Prospect,,,,,,,,,,,Thurber,,,,,,,"U.S. GEOLOGICAL SURVEY BULLETIN 1516-D, 1982, P. 115.",,,,,,,,,D,,,,,,,,,,,,,,,,,
25,10035145,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10035145,M022316,,Ground Hog,36.98494,-119.2779,NA,United States,California,Fresno,M,Tungsten,,,Unknown,,N,Occurrence,Scheelite,,,,,,,,,,"Fraticelli, L. A. (Albers, J.)",,Schist,,,,,"KRAUSKOPF, K.B., 1953;  TUNGSTEN DEPOSITS OF MADERA, FRESNO AND TULARE COUNTIES;  SPEC. REPT. 35;  DIV. OF MINES, P. 77",,,,,,,,,C,,,,,,,,,,,,,,,,,
25,10285458,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10285458,M022316,60190248,Ground Hog,36.98384,-119.27376,NA,United States,California,Fresno,M,Tungsten,,,Surface,,,Unknown,,,,,,,,,,,Western Field Operations Center (WFOC),,,,,,,"CA DOM SR 35,P 77;USBM MIN YEARBOOK V 3,1954,P 208;1955,P 21",,,,,,,,,D,,,,,,,,,,,,,,,,,
